Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" buildup of sphingomyelin leading to death in early childhood, often presents with a cherry red spot on fundoscopic exam, motor neuropathy leading to ataxia, hypotonia, and HEPATOSPLENOMEGALY",Niemann-Pick disease
 responsible for green color of sputum in long-standing respiratory infections,Myeloperoxidase
 cytokine secreted by macrophages that induces Th1 (cell-mediated immunity T-helper cell) differentiation from Th0 cells,IL-12
 cytokine secreted by APCs that induces Th2 (humoral immunity T-helper cell) differentiation from Th0 cells,IL-4
 considered if vili from a mole invades the myometrium; can come from a complete mole,Invasive mole
" presents with normal beta-HCG, normal villi, fetal tissue; pregnancy loss <20 weeks gestation",Miscarriage
" proliferation of intermediate trophoblasts, usually presents with human placental lactogen",Placental site trophoblastic tumor
 can present with normal villi despite XXY or XXX or XYY status,Partial mole
" secrete IL-4, IL-5, IL-10, IL-13 to promote B-cell differentiation and and class switching",Th2-activated t-helper cells
" is the process of increasing size of cells (e.g. muscle, adipose); compare to hyperplasia which is the process of increasing number of cells (e.g. BPH, cushing's disease)",Hypertrophy
" in standard data format, d/(c+d); AKA (false negatives)/(all negatives)",Negative predictive value
" for these values to be applicable to the individual, pretest probability (e.g. probability of having disease before testing) must be equal to the prevalence of disease","NPV, PPV"
 most common congenital breast anomaly; results from failed regression of the mamillary ridge in utero; can become tender during times of hormonal fluctuation,Accessory nipples
" AKA skin tags; benign, often pedunculated outgrowths of skin; present in areas with high friction",Acrochorda
" benign fatty tumors often surrounded by a fibrous capsule; present as flesh colored soft, painless subcutaneous mass",Lipoma
" benign, clonal proliferation of melanocytes in utero; can be raised and hyperpigmented",Congenital melanocytic nevi
" accumulation of scaly, greasy skin on head; becomes widespread with HIV and possibly Parkinson's",Seborrheic dermatitis
 common due to hematogenous seeding; cancers of the pelvis spread to the spine via the vertebral venous plexus which interact with other plexi (e.g. pampiniform in the testes and prostatic in the prostate),Cancer in bone
" histologically, can present with empty lacunae (no osteocytes) and fat necrosis; affects a wedge-shaped area",Osteonecrosis
" presents with sharp, intermittent pain on the lateral thigh; pain is increased with pressure on the hip; not associated with limited mobility",Trochanteric bursitis
" risk factors include thrombotic / embolic occlusion, glucocorticoids, vascular injury, alcohol and traumatic fracture; assoc with pain on weight bearing and decreased range of motion",Osteonecrosis
 adds methyl groups to DNA residues using S-adenosyl-methionine (SAM) as a methyl group donor,DNA methyltransferase
 refers to the unique capsule itself that allows persistence of E. coli in neonatal meninges,K1 capsular antigen
" e.g. caused by trauma; can increase preload, but decrease afterload via bypassing circulation from arterioles; can result in high-output heart failure",Arteriovenous shunts
 these cells store surfactant in lamellar bodies (organelles containing parallel stacks of membrane lamellae),Type II pneumocytes
" encodes for P-glycoprotein, a multi-drug resistance enabling transmembrane ATP-dependent efflux pump protein with broad specificity for hydrophobic compounds",Human MDR1 gene
" best area for this nerve block would be in the inguinal crease; useful for anterior/medial thigh, knee, and medial leg pain",Femoral nerve block
" emerges between psoas and iliacus muscles and passes under the inguinal ligament, lateral to the femoral artery and vein, before branching at a triangle",Femoral nerve
 acts as a vasodilatory element in small coronary vessels (vs. large ones),Adenosine
" drooping of the shoulder, impaired abduction of arm above horizontal, winging scapula; innervated by CNXI",Trapezius weakness
 pure motor nerve that also innervates trapezius and sternocleidomastoid,CNXI
 gives rise to some facial muscles,2nd pharyngeal arch
" in addition to the true aortic arch, also gives rise to the subclavian arteries, superior laryngeal branch of the vagus nerve and associated muscles",4th pharyngeal arch
" gives rise to most muscles of larynx, with the associated aortic arch giving rise to pulmonary arteries and ductus arteriosis",6th pharyngeal arch
" produces urushiol, which causes a Type IV hypersensitivity reaction; often presents as linear (brushing past) highly pruritic rash with papules, vesicles, bullae",Poison oak / ivy / sumac
" broken down into two phases - 1) sensitization phase for <2wks, with clonal expansion of T-cells 2) elicitation phase re-exposure or hapten uptake causes activation of these T-cells with localized inflammatory response",Type IV hypersensitivity
" presents with light pigmentation, developmental delay, musty odor",Phenylketonuria
" aka cretinism, is asymptomatic at birth, but presents as maternal T4 wanes",Congenital hypothyroidism
" originates from lateral ribs, and extends anteriorly to insert into the linea alba, pubis, iliac crest",External oblique
 located underneath the subscapularis; stabilizes shoulder joint and helps with external rotation,Infraspinatus
" for pleural effusion drainage, placed at 4/5th intercostal space at midaxillary line; usually travels through serratus anterior, intercostals, parietal pleura",Chest tube to drain pleural effusion
" can present as ""excessive skin at nape of neck, protruding tongue, upslanting palpebral fissues (eyelids); single-palmar crease""; usually with mitral murmur",Down syndrome
" can present with 46, XX, t(14:21); balanced robertsonian translocation; this is more rare",Down syndrome
 can present via mosaicism from nondisjunction during MITOSIS; with one cell line having triploid and the other with normal,Down syndrome
" method of cellular attack used exclusively by macrophages, neutrophils, NK cells, and eosinophils",Antibody cell-mediated cytotoxicity
" cytokine produced by Th2 cells, mast cells, that activates eosinophils",IL-5
" MOTEL PASS; melanocytes, odontoblasts, tracheal cartilage, enterochrommafin cells, laryngeal cartilage, parafollicular cells, adrenal medulla / all ganglia, schwann cells, spiral membrane",Neural crest derived cells
 cause high spiking fevers with siezures followed by a truncal lacy rash (2-3 days after fever); in 6mo-2yrs,HHV-6
" site on aorta most vulnerable both to dissection and blunt injury; tethered by ligamentum arteriosum, making it more fixed than the rest of the aorta",Aortic isthmus
 also acts as an indirect vasodilator due to opposing renin action,ANP/BNP
" originates from C5-C6, posterior cord of brachial plexus, supplies deltoid and teres minor; can be damaged from humerus fracture or anterior shoulder dislocation",Axillary nerve
" C5, provides motor innervation to rhomboids (retract scapula) and levator scapulae (elevate scapula)",Dorsal scapular
 injury often occurs during axillary lymph node dissection; assoc with winged scapula; C5-C7,Long thoracic
" aka ""crutch palsy""; assoc with arm/forearm/finger extensor weakness, sensory deficits over posterior arm/forearm and dorsolateral hand",Radial nerve injury at axilla
" usually injured at elbow; associated with sensory loss over medial 1u1/2 digits of hand, weak wrist flexion/adduction, flexion of the 4th and 5th digits",Ulnar nerve injury
